"county_state","cum.case.num"
"Duval County_TX",459
"Dyer County_TN",1549
"Eagle County_CO",1275
"Early County_GA",513
"East Baton Rouge Parish_LA",15317
"East Carroll Parish_LA",548
"East Feliciana Parish_LA",1750
"Eastland County_TX",191
"Eaton County_MI",740
"Eau Claire County_WI",2174
"Echols County_GA",242
"Ector County_TX",3192
"Eddy County_ND",105
"Eddy County_NM",911
"Edgar County_IL",119
"Edgecombe County_NC",1487
"Edgefield County_SC",828
"Edmonson County_KY",141
"Edmunds County_SD",104
"Edwards County_IL",72
"Edwards County_KS",54
"Edwards County_TX",68
"Effingham County_GA",1510
"Effingham County_IL",924
"El Dorado County_CA",1207
"El Paso County_CO",7236
"El Paso County_TX",25793
"Elbert County_CO",168
"Elbert County_GA",709
"Elk County_KS",9
"Elk County_PA",78
"Elkhart County_IN",7134
"Elko County_NV",1007
"Elliott County_KY",44
"Ellis County_KS",1118
"Ellis County_OK",14
"Ellis County_TX",4482
"Ellsworth County_KS",71
"Elmore County_AL",2835
"Elmore County_ID",385
"Emanuel County_GA",1105
"Emery County_UT",52
"Emmet County_IA",299
"Emmet County_MI",172
"Emmons County_ND",223
"Emporia city_VA",261
"Erath County_TX",892
"Erie County_NY",11798
"Erie County_OH",997
"Erie County_PA",1656
"Escambia County_AL",1652
"Escambia County_FL",12494
"Esmeralda County_NV",0
"Essex County_MA",21324
"Essex County_NJ",21365
"Essex County_NY",171
"Essex County_VA",183
"Essex County_VT",6
"Estill County_KY",201
"Etowah County_AL",3691
"Eureka County_NV",10
"Evangeline Parish_LA",1344
"Evans County_GA",433
"Fairbanks North Star Borough_AK",1333
"Fairfax city_VA",139
"Fairfax County_VA",21357
"Fairfield County_CT",20587
"Fairfield County_OH",2260
"Fairfield County_SC",790
"Fall River County_SD",105
"Fallon County_MT",16
"Falls Church city_VA",72
"Falls County_TX",436
"Fannin County_GA",713
"Fannin County_TX",701
"Faribault County_MN",165
"Faulk County_SD",78
"Faulkner County_AR",2728
"Fauquier County_VA",973
"Fayette County_AL",485
"Fayette County_GA",1925
"Fayette County_IA",251
